ENSG00000130939	ENSRNOG00000015670	ENSMUSG00000026116	ENSSSCG00000004132	ENSDARG00000025034	FBgn0031301	AT1G02180	
ENSG00000054523	ENSRNOG00000026096	ENSMUSG00000050122	ENSSSCG00000004133	ENSDARG00000078474	FBgn0031302	AT1G02190	
ENSG00000142657	ENSRNOG00000062917	ENSMUSG00000026114	ENSSSCG00000004134	ENSDARG00000063003	FBgn0016926	AT1G02205	
ENSG00000160049	ENSRNOG00000070320	ENSMUSG00000026113	ENSSSCG00000039598	ENSDARG00000002377	FBgn0031304	AT1G02210	
ENSG00000142655	ENSRNOG00000067484	ENSMUSG00000026112	ENSSSCG00000004136	ENSDARG00000015803	FBgn0031305	AT1G02220	
ENSG00000130940	ENSRNOG00000063959	ENSMUSG00000026111	ENSSSCG00000004138	ENSDARG00000037739	FBgn0031306	AT1G02230	
ENSG00000175262	ENSRNOG00000064447	ENSMUSG00000026110	ENSSSCG00000004139	ENSDARG00000076176	FBgn0031307	AT1G02250	
ENSG00000120948	ENSRNOG00000068797	ENSMUSG00000026090	ENSSSCG00000004140	ENSDARG00000113858	FBgn0283525	AT1G02260	
ENSG00000009724	ENSRNOG00000071165	ENSMUSG00000060771	ENSSSCG00000034307	ENSDARG00000100771	FBgn0031309	AT1G02270	
ENSG00000116649	ENSRNOG00000071181	ENSMUSG00000037216	ENSSSCG00000036250	ENSDARG00000079873	FBgn0031310	AT1G02280	
ENSG00000171824	ENSRNOG00000062468	ENSMUSG00000026088	ENSSSCG00000043584	ENSDARG00000007443	FBgn0261458	AT1G02290	
ENSG00000198793	ENSRNOG00000016089	ENSMUSG00000026087	ENSSSCG00000004142	ENSDARG00000037746	FBgn0031312	AT1G02300	
ENSG00000171819	ENSRNOG00000039869	ENSMUSG00000061584	ENSSSCG00000004143	ENSDARG00000037747	FBgn0031313	AT1G02305	
ENSG00000120942	ENSRNOG00000029877	ENSMUSG00000026085	ENSSSCG00000004144	ENSDARG00000079361	FBgn0031314	AT1G02310	
ENSG00000204624	ENSRNOG00000025982	ENSMUSG00000058407	ENSSSCG00000004145	ENSDARG00000012458	FBgn0031315	AT1G02320	
ENSG00000116661	ENSRNOG00000063281	ENSMUSG00000026083	ENSSSCG00000004146	ENSDARG00000070543	FBgn0024314	AT1G02330	
ENSG00000132879	ENSRNOG00000025951	ENSMUSG00000026082	ENSSSCG00000004147	ENSDARG00000089873	FBgn0051922	AT1G02335	
ENSG00000116663	ENSRNOG00000016073	ENSMUSG00000037138	ENSSSCG00000004148	ENSDARG00000094206	FBgn0031317	AT1G02340	
ENSG00000116670	ENSRNOG00000016219	ENSMUSG00000048814	ENSSSCG00000004149	ENSDARG00000037758	FBgn0031318	AT1G02350	
ENSG00000162490	ENSRNOG00000039865	ENSMUSG00000026080	ENSSSCG00000004150	ENSDARG00000008723	FBgn0031319	AT1G02360	
ENSG00000177674	ENSRNOG00000016371	ENSMUSG00000067604	ENSSSCG00000048346	ENSDARG00000110570	FBgn0031320	AT1G02370	
ENSG00000215910	ENSRNOG00000068836	ENSMUSG00000026078	ENSSSCG00000004151	ENSDARG00000058460	FBgn0031321	AT1G02380	
ENSG00000177000	ENSRNOG00000016411	ENSMUSG00000026077	ENSSSCG00000022968	ENSDARG00000088975	FBgn0031322	AT1G02390	
ENSG00000011021	ENSRNOG00000016627	ENSMUSG00000073702	ENSSSCG00000038420	ENSDARG00000058463	FBgn0031323	AT1G02400	
ENSG00000175206	ENSRNOG00000016700	ENSMUSG00000003134	ENSSSCG00000004154	ENSDARG00000076716	FBgn0263080	AT1G02405	
ENSG00000120937	ENSRNOG00000011161	ENSMUSG00000003135	ENSSSCG00000004155	ENSDARG00000058464	FBgn0263081	AT1G02410	
ENSG00000116685	ENSRNOG00000011815	ENSMUSG00000048234	ENSSSCG00000004156	ENSDARG00000058471	FBgn0040723	AT1G02420	
ENSG00000083444	ENSRNOG00000059251	ENSMUSG00000050967	ENSSSCG00000004158	ENSDARG00000058475	FBgn0031324	AT1G02430	
ENSG00000116688	ENSRNOG00000067750	ENSMUSG00000057173	ENSSSCG00000004157	ENSDARG00000058480	FBgn0259229	AT1G02440	
ENSG00000116691	ENSRNOG00000067483	ENSMUSG00000026074	ENSSSCG00000004159	ENSDARG00000024740	FBgn0031327	AT1G02450	
ENSG00000120949	ENSRNOG00000012122	ENSMUSG00000026073	ENSSSCG00000004160	ENSDARG00000101597	FBgn0041097	AT1G02460	
