ENSG00000183114	ENSMUSG00000026014	FBgn0042187	AT1G03440	
ENSG00000158825	ENSMUSG00000026012	FBgn0031406	AT1G03445	
ENSG00000158828	ENSMUSG00000026011	FBgn0031407	AT1G03457	
ENSG00000244038	ENSMUSG00000026009	FBgn0054049	AT1G03470	
ENSG00000117245	ENSMUSG00000052062	FBgn0250841	AT1G03475	
ENSG00000189410	ENSMUSG00000025969	FBgn0031409	AT1G03490	
ENSG00000127483	ENSMUSG00000040865	FBgn0051681	AT1G03495	
ENSG00000075151	ENSMUSG00000025968	FBgn0261523	AT1G03510	
ENSG00000117298	ENSMUSG00000025967	FBgn0031410	AT1G03520	
ENSG00000142794	ENSMUSG00000046856	FBgn0028570	AT1G03530	
ENSG00000162551	ENSMUSG00000027520	FBgn0051949	AT1G03540	
ENSG00000076864	ENSMUSG00000025964	FBgn0031412	AT1G03550	
ENSG00000090686	ENSMUSG00000069085	FBgn0031413	AT1G03560	
ENSG00000187942	ENSMUSG00000025963	FBgn0031414	AT1G03590	
ENSG00000142798	ENSMUSG00000025962	FBgn0014010	AT1G03600	
ENSG00000219073	ENSMUSG00000025961	FBgn0261647	AT1G03610	
ENSG00000142789	ENSMUSG00000025959	FBgn0031417	AT1G03620	
ENSG00000070831	ENSMUSG00000025958	FBgn0031418	AT1G03630	
ENSG00000162552	ENSMUSG00000025956	FBgn0031419	AT1G03650	
ENSG00000184677	ENSMUSG00000070871	FBgn0031420	AT1G03660	
ENSG00000070886	ENSMUSG00000045005	FBgn0264672	AT1G03670	
ENSG00000173372	ENSMUSG00000051344	FBgn0031422	AT1G03680	
ENSG00000159189	ENSMUSG00000025955	FBgn0031423	AT1G03687	
ENSG00000173369	ENSMUSG00000070870	FBgn0264081	AT1G03700	
ENSG00000133216	ENSMUSG00000067299	FBgn0287218	AT1G03710	
ENSG00000215906	ENSMUSG00000025952	FBgn0031424	AT1G03720	
ENSG00000227868	ENSMUSG00000073658	FBgn0031426	AT1G03730	
ENSG00000004487	ENSMUSG00000044816	FBgn0051948	AT1G03740	
ENSG00000169641	ENSMUSG00000025950	FBgn0085477	AT1G03750	
ENSG00000179546	ENSMUSG00000025949	FBgn0085476	AT1G03760	
ENSG00000125944	ENSMUSG00000025946	FBgn0031428	AT1G03770	
ENSG00000125945	ENSMUSG00000025945	FBgn0264988	AT1G03780	
